year,race,score_range,test_takers,percent,mean_total
2019,American Indian/Alaska Native,all,12917,,912
2019,Asian,all,228527,,1223
2019,Black/African American,all,271178,,933
2019,Hispanic/Latino,all,554665,,978
2019,Native Hawaiian/Other Pacific Islander,all,5430,,964
2019,White,all,947842,,1114
2019,Two or More Races,all,87178,,1095
2019,No Response,all,112350,,959
2019,Total,all,2220087,,1059
2019,American Indian/Alaska Native,400-590,,1,
2019,American Indian/Alaska Native,600-790,,29,
2019,American Indian/Alaska Native,800-990,,41,
2019,American Indian/Alaska Native,1000-1190,,22,
2019,American Indian/Alaska Native,1200-1390,,6,
2019,American Indian/Alaska Native,1400-1600,,1,
2019,Asian,400-590,,0,
2019,Asian,600-790,,3,
2019,Asian,800-990,,13,
2019,Asian,1000-1190,,27,
2019,Asian,1200-1390,,32,
2019,Asian,1400-1600,,25,
2019,Black/African American,400-590,,0,
2019,Black/African American,600-790,,22,
2019,Black/African American,800-990,,45,
2019,Black/African American,1000-1190,,25,
2019,Black/African American,1200-1390,,7,
2019,Black/African American,1400-1600,,1,
2019,Hispanic/Latino,400-590,,0,
2019,Hispanic/Latino,600-790,,16,
2019,Hispanic/Latino,800-990,,40,
2019,Hispanic/Latino,1000-1190,,31,
2019,Hispanic/Latino,1200-1390,,11,
2019,Hispanic/Latino,1400-1600,,2,
2019,Native Hawaiian/Other Pacific Islander,400-590,,0,
2019,Native Hawaiian/Other Pacific Islander,600-790,,19,
2019,Native Hawaiian/Other Pacific Islander,800-990,,40,
2019,Native Hawaiian/Other Pacific Islander,1000-1190,,30,
2019,Native Hawaiian/Other Pacific Islander,1200-1390,,9,
2019,Native Hawaiian/Other Pacific Islander,1400-1600,,2,
2019,White,400-590,,0,
2019,White,600-790,,5,
2019,White,800-990,,22,
2019,White,1000-1190,,39,
2019,White,1200-1390,,26,
2019,White,1400-1600,,8,
2019,Two or More Races,400-590,,0,
2019,Two or More Races,600-790,,6,
2019,Two or More Races,800-990,,27,
2019,Two or More Races,1000-1190,,36,
2019,Two or More Races,1200-1390,,22,
2019,Two or More Races,1400-1600,,8,
2019,Total,400-590,5447,,
2019,Total,600-790,237303,,
2019,Total,800-990,655005,,
2019,Total,1000-1190,736067,,
2019,Total,1200-1390,431780,,
2019,Total,1400-1600,154485,,
2019,No Response,400-590,,4.7,
2019,No Response,600-790,,21.9,
2019,No Response,800-990,,37.3,
2019,No Response,1000-1190,,25.9,
2019,No Response,1200-1390,,10.5,
2019,No Response,1400-1600,,0.5,
