year,race,score_range,test_takers,percent,mean_total
2018,American Indian/Alaska Native,all,10946,,949
2018,Asian,all,217971,,1223
2018,Black/African American,all,263318,,946
2018,Hispanic/Latino,all,499442,,990
2018,Native Hawaiian/Other Pacific Islander,all,5620,,986
2018,White,all,930825,,1123
2018,Two or More Races,all,77078,,1101
2018,No Response,all,131339,,954
2018,Total,all,2136539,,1068
2018,American Indian/Alaska Native,400-590,,0,
2018,American Indian/Alaska Native,600-790,,20,
2018,American Indian/Alaska Native,800-990,,42,
2018,American Indian/Alaska Native,1000-1190,,28,
2018,American Indian/Alaska Native,1200-1390,,8,
2018,American Indian/Alaska Native,1400-1600,,1,
2018,Asian,400-590,,0,
2018,Asian,600-790,,2,
2018,Asian,800-990,,13,
2018,Asian,1000-1190,,28,
2018,Asian,1200-1390,,33,
2018,Asian,1400-1600,,24,
2018,Black/African American,400-590,,0,
2018,Black/African American,600-790,,19,
2018,Black/African American,800-990,,45,
2018,Black/African American,1000-1190,,27,
2018,Black/African American,1200-1390,,7,
2018,Black/African American,1400-1600,,1,
2018,Hispanic/Latino,400-590,,0,
2018,Hispanic/Latino,600-790,,13,
2018,Hispanic/Latino,800-990,,40,
2018,Hispanic/Latino,1000-1190,,33,
2018,Hispanic/Latino,1200-1390,,11,
2018,Hispanic/Latino,1400-1600,,2,
2018,Native Hawaiian/Other Pacific Islander,400-590,,0,
2018,Native Hawaiian/Other Pacific Islander,600-790,,14,
2018,Native Hawaiian/Other Pacific Islander,800-990,,40,
2018,Native Hawaiian/Other Pacific Islander,1000-1190,,33,
2018,Native Hawaiian/Other Pacific Islander,1200-1390,,11,
2018,Native Hawaiian/Other Pacific Islander,1400-1600,,2,
2018,White,400-590,,0,
2018,White,600-790,,4,
2018,White,800-990,,21,
2018,White,1000-1190,,41,
2018,White,1200-1390,,27,
2018,White,1400-1600,,8,
2018,Two or More Races,400-590,,0,
2018,Two or More Races,600-790,,5,
2018,Two or More Races,800-990,,26,
2018,Two or More Races,1000-1190,,37,
2018,Two or More Races,1200-1390,,23,
2018,Two or More Races,1400-1600,,8,
2018,Total,400-590,4452,,
2018,Total,600-790,192267,,
2018,Total,800-990,619145,,
2018,Total,1000-1190,741452,,
2018,Total,1200-1390,434200,,
2018,Total,1400-1600,145023,,
2018,No Response,400-590,,3.4,
2018,No Response,600-790,,22.0,
2018,No Response,800-990,,38.2,
2018,No Response,1000-1190,,22.4,
2018,No Response,1200-1390,,14.0,
2018,No Response,1400-1600,,0.0,
